"name","result.year","result.code","result.category"
"Abarema longipedunculata","1998","LR/nt","Lower Risk/near threatened"
"Abarema villifera","1998","LR/nt","Lower Risk/near threatened"
"Acacia aulacocarpa","1998","LR/nt","Lower Risk/near threatened"
"Acacia caraniana","1998","LR/nt","Lower Risk/near threatened"
"Acacia caraniana","1998","R","Rare"
"Acacia cernua","1998","LR/nt","Lower Risk/near threatened"
"Acacia cernua","1998","R","Rare"
"Acacia condyloclada","1998","LR/nt","Lower Risk/near threatened"
"Acacia dolichostachya","1998","LR/nt","Lower Risk/near threatened"
"Acacia gaumeri","1998","LR/nt","Lower Risk/near threatened"
"Acacia moggii","1998","LR/nt","Lower Risk/near threatened"
"Acacia moggii","1998","R","Rare"
"Acacia montis-usti","1998","LR/nt","Lower Risk/near threatened"
"Acacia montis-usti","1998","R","Rare"
"Acacia ochracea","1998","LR/nt","Lower Risk/near threatened"
"Acacia ochracea","1998","R","Rare"
"Acacia origena","1998","LR/nt","Lower Risk/near threatened"
"Acacia robynsiana","1998","LR/nt","Lower Risk/near threatened"
"Acacia robynsiana","1998","R","Rare"
"Acacia sarcophylla","1998","LR/nt","Lower Risk/near threatened"
"Acacia sarcophylla","1998","R","Rare"
"Acanthochelys macrocephala","1996","LR/nt","Lower Risk/near threatened"
"Acanthochelys macrocephala","1994","K","Insufficiently Known"
"Acanthochelys macrocephala","1990","K","Insufficiently Known"
"Acanthochelys macrocephala","1988","K","Insufficiently Known"
"Acanthochelys radiolata","1996","LR/nt","Lower Risk/near threatened"
"Acanthochelys spixii","1996","LR/nt","Lower Risk/near threatened"
"Acanthochelys spixii","1994","K","Insufficiently Known"
"Acanthochelys spixii","1990","K","Insufficiently Known"
"Acanthochelys spixii","1988","K","Insufficiently Known"
"Acanthochelys spixii","1986","K","Insufficiently Known"
"Acanthochelys spixii","1982","K","Insufficiently Known"
"Acer undulatum","1998","I","Indeterminate"
"Acer undulatum","1998","LR/nt","Lower Risk/near threatened"
"Actinonaias pectorosa","1996","LR/nt","Lower Risk/near threatened"
"Adansonia madagascariensis","1998","LR/nt","Lower Risk/near threatened"
"Adansonia rubrostipa","1998","LR/nt","Lower Risk/near threatened"
"Adansonia za","1998","LR/nt","Lower Risk/near threatened"
"Adinandra forbesii","1998","LR/nt","Lower Risk/near threatened"
"Adonidia merrillii","1998","LR/nt","Lower Risk/near threatened"
"Aglaia agglomerata","1998","LR/nt","Lower Risk/near threatened"
"Aglaia crassinervia","1998","LR/nt","Lower Risk/near threatened"
"Aglaia edulis","1998","LR/nt","Lower Risk/near threatened"
"Aglaia erythrosperma","1998","LR/nt","Lower Risk/near threatened"
"Aglaia euryanthera","1998","LR/nt","Lower Risk/near threatened"
"Aglaia exstipulata","1998","LR/nt","Lower Risk/near threatened"
"Aglaia flavida","1998","LR/nt","Lower Risk/near threatened"
"Aglaia forbesii","1998","LR/nt","Lower Risk/near threatened"
"Aglaia foveolata","1998","LR/nt","Lower Risk/near threatened"
"Aglaia glabrata","1998","LR/nt","Lower Risk/near threatened"
"Aglaia grandis","1998","LR/nt","Lower Risk/near threatened"
"Aglaia hiernii","1998","LR/nt","Lower Risk/near threatened"
"Aglaia korthalsii","1998","LR/nt","Lower Risk/near threatened"
"Aglaia lancilimba","1998","LR/nt","Lower Risk/near threatened"
"Aglaia lepidopetala","1998","LR/nt","Lower Risk/near threatened"
"Aglaia leptantha","1998","LR/nt","Lower Risk/near threatened"
"Aglaia leucophylla","1998","LR/nt","Lower Risk/near threatened"
"Aglaia luzoniensis","1998","LR/nt","Lower Risk/near threatened"
"Aglaia macrocarpa","1998","LR/nt","Lower Risk/near threatened"
"Aglaia malaccensis","1998","LR/nt","Lower Risk/near threatened"
"Aglaia meridionalis","1998","LR/nt","Lower Risk/near threatened"
"Aglaia monozyga","1998","LR/nt","Lower Risk/near threatened"
"Aglaia multinervis","1998","LR/nt","Lower Risk/near threatened"
"Aglaia odorata","1998","LR/nt","Lower Risk/near threatened"
"Aglaia oligophylla","1998","LR/nt","Lower Risk/near threatened"
"Aglaia pachyphylla","1998","LR/nt","Lower Risk/near threatened"
"Aglaia palembanica","1998","LR/nt","Lower Risk/near threatened"
"Aglaia parviflora","1998","LR/nt","Lower Risk/near threatened"
"Aglaia rimosa","1998","LR/nt","Lower Risk/near threatened"
"Aglaia rubiginosa","1998","LR/nt","Lower Risk/near threatened"
"Aglaia rubiginosa","1998","nt","Not Threatened"
"Aglaia rufinervis","1998","LR/nt","Lower Risk/near threatened"
"Aglaia rugulosa","1998","LR/nt","Lower Risk/near threatened"
"Aglaia samoensis","1998","LR/nt","Lower Risk/near threatened"
"Aglaia sexipetala","1998","LR/nt","Lower Risk/near threatened"
"Aglaia silvestris","1998","LR/nt","Lower Risk/near threatened"
"Aglaia simplicifolia","1998","LR/nt","Lower Risk/near threatened"
"Aglaia squamulosa","1998","LR/nt","Lower Risk/near threatened"
"Aglaia subcuprea","1998","LR/nt","Lower Risk/near threatened"
"Aglaia teysmanniana","1998","LR/nt","Lower Risk/near threatened"
"Agrostis mannii","2000","LR/nt","Lower Risk/near threatened"
"Allocharopa okeana","1996","LR/nt","Lower Risk/near threatened"
"Allocharopa okeana","1994","V","Vulnerable"
"Allocharopa tarravillensis","1996","LR/nt","Lower Risk/near threatened"
"Allocharopa tarravillensis","1994","V","Vulnerable"
"Allophylus rhoidiphyllus","1998","LR/nt","Lower Risk/near threatened"
"Allophylus rhoidiphyllus","1998","nt","Not Threatened"
"Alluaudia procera","1998","LR/nt","Lower Risk/near threatened"
"Alluaudia procera","1998","nt","Not Threatened"
"Alstonia marquisensis","1998","LR/nt","Lower Risk/near threatened"
"Alstonia marquisensis","1998","R","Rare"
"Amesiodendron chinense","1998","LR/nt","Lower Risk/near threatened"
"Amphidromus cognatus","1996","LR/nt","Lower Risk/near threatened"
"Amphidromus cognatus","1994","R","Rare"
"Amphinaias asperata","1996","LR/nt","Lower Risk/near threatened"
"Amphinaias houstonensis","1996","LR/nt","Lower Risk/near threatened"
"Amphinaias refulgens","1996","LR/nt","Lower Risk/near threatened"
"Amplirhagada montalivetensis","1996","LR/nt","Lower Risk/near threatened"
"Amplirhagada montalivetensis","1994","I","Indeterminate"
"Anetia briarea","1996","LR/nt","Lower Risk/near threatened"
"Anetia briarea","1994","R","Rare"
"Anetia briarea","1990","R","Rare"
"Anetia briarea","1988","R","Rare"
"Anetia briarea","1986","R","Rare"
"Anetia cubana","1996","LR/nt","Lower Risk/near threatened"
"Anetia cubana","1994","R","Rare"
"Anetia cubana","1990","R","Rare"
"Anetia cubana","1988","R","Rare"
"Anetia cubana","1986","R","Rare"
"Anetia jaegeri","1996","LR/nt","Lower Risk/near threatened"
"Anetia jaegeri","1994","R","Rare"
"Anetia jaegeri","1990","R","Rare"
"Anetia jaegeri","1988","R","Rare"
"Anetia jaegeri","1986","R","Rare"
"Anetia pantheratus","1996","LR/nt","Lower Risk/near threatened"
"Anetia pantheratus","1994","R","Rare"
"Anetia pantheratus","1990","R","Rare"
"Anetia pantheratus","1988","R","Rare"
"Anetia pantheratus","1986","R","Rare"
"Annona jamaicensis","1998","LR/nt","Lower Risk/near threatened"
"Annona jamaicensis","1998","V","Vulnerable"
"Annona trunciflora","1998","LR/nt","Lower Risk/near threatened"
"Anthospermum asperuloides","2000","LR/nt","Lower Risk/near threatened"
"Aporusa isabellina","1998","LR/nt","Lower Risk/near threatened"
"Aporusa isabellina","1998","V","Vulnerable"
"Aprasia pseudopulchella","1996","LR/nt","Lower Risk/near threatened"
"Aprasia pseudopulchella","1994","V","Vulnerable"
"Archon apollinus","1996","LR/nt","Lower Risk/near threatened"
"Archon apollinus","1994","R","Rare"
"Ardisia maxonii","1998","LR/nt","Lower Risk/near threatened"
"Ardisia nigrovirens","1998","LR/nt","Lower Risk/near threatened"
"Ardisia opaca","1998","LR/nt","Lower Risk/near threatened"
"Ardisia opaca","1998","V","Vulnerable"
"Areca hutchinsoniana","1998","LR/nt","Lower Risk/near threatened"
"Aristeguietia discolor","1998","LR/nt","Lower Risk/near threatened"
"Ashmunella pasonis","1996","LR/nt","Lower Risk/near threatened"
"Ashmunella pasonis","1994","I","Indeterminate"
"Ashmunella pasonis","1990","I","Indeterminate"
"Ashmunella pasonis","1988","I","Indeterminate"
"Ashmunella pasonis","1986","I","Indeterminate"
"Aspidosperma megalocarpon","1998","LR/nt","Lower Risk/near threatened"
"Aspidosperma triternatum","1998","LR/nt","Lower Risk/near threatened"
"Aspidosperma triternatum","1998","R","Rare"
"Asteranthos brasiliensis","1998","LR/nt","Lower Risk/near threatened"
"Asteranthos brasiliensis","1998","R","Rare"
"Astrocaryum alatum","1998","LR/nt","Lower Risk/near threatened"
"Astronidium macranthum","1998","LR/nt","Lower Risk/near threatened"
"Astronidium macranthum","1998","nt","Not Threatened"
"Astronidium tomentosum","1998","LR/nt","Lower Risk/near threatened"
"Astronidium tomentosum","1998","nt","Not Threatened"
"Attalea tessmannii","1998","LR/nt","Lower Risk/near threatened"
"Austrochloritis ascensa","1996","LR/nt","Lower Risk/near threatened"
"Austrochloritis ascensa","1994","R","Rare"
"Axinaea nitida","1998","LR/nt","Lower Risk/near threatened"
"Bactris setulosa","1998","LR/nt","Lower Risk/near threatened"
"Bafutia tenuicaulis","2000","LR/nt","Lower Risk/near threatened"
"Baikiaea plurijuga","1998","LR/nt","Lower Risk/near threatened"
"Baikiaea plurijuga","1998","nt","Not Threatened"
"Balthasaria schliebenii","1998","LR/nt","Lower Risk/near threatened"
"Barombia gracillima","2000","LR/nt","Lower Risk/near threatened"
"Baronia brevicornis","1996","LR/nt","Lower Risk/near threatened"
"Baronia brevicornis","1994","R","Rare"
"Baronia brevicornis","1990","R","Rare"
"Baronia brevicornis","1988","R","Rare"
"Baronia brevicornis","1986","R","Rare"
"Baronia brevicornis","1985","R","Rare"
"Basilichthys australis","1996","LR/nt","Lower Risk/near threatened"
"Basilichthys australis","1994","V","Vulnerable"
"Baudinella baudinensis","1996","LR/nt","Lower Risk/near threatened"
"Baudinella baudinensis","1994","I","Indeterminate"
"Beckianum sinistrum","1996","LR/nt","Lower Risk/near threatened"
"Bentosites macleayi","1996","LR/nt","Lower Risk/near threatened"
"Bentosites macleayi","1994","R","Rare"
"Berberis beauverdiana","1998","LR/nt","Lower Risk/near threatened"
"Betula recurvata","1998","LR/nt","Lower Risk/near threatened"
"Bivinia jalbertii","1998","LR/nt","Lower Risk/near threatened"
"Blepharocalyx cruckshanksii","1998","LR/nt","Lower Risk/near threatened"
"Boehmeria jamaicensis","1998","LR/nt","Lower Risk/near threatened"
"Boehmeria jamaicensis","1998","R","Rare"
"Bonnetia fasciculata","1998","LR/nt","Lower Risk/near threatened"
"Boswellia pirottae","1998","LR/nt","Lower Risk/near threatened"
"Boswellia pirottae","1998","R","Rare"
"Boswellia sacra","1998","LR/nt","Lower Risk/near threatened"
"Bottegoa insignis","1998","LR/nt","Lower Risk/near threatened"
"Bottegoa insignis","1998","R","Rare"
"Bourreria baccata","1998","LR/nt","Lower Risk/near threatened"
"Bourreria baccata","1998","R","Rare"
"Brachyglottis perdicioides","1998","LR/nt","Lower Risk/near threatened"
"Brachylaena huillensis","1998","LR/nt","Lower Risk/near threatened"
"Brachypelma smithi","1996","LR/nt","Lower Risk/near threatened"
"Brachypelma smithi","1994","K","Insufficiently Known"
"Brachypelma smithi","1990","K","Insufficiently Known"
"Brachypelma smithi","1988","K","Insufficiently Known"
"Brachypelma smithi","1986","K","Insufficiently Known"
"Brachypelma smithi","1983","K","Insufficiently Known"
"Brackenridgea palustris","1998","LR/nt","Lower Risk/near threatened"
"Breviea sericea","1998","I","Indeterminate"
"Breviea sericea","1998","LR/nt","Lower Risk/near threatened"
"Buchenavia kleinii","1998","LR/nt","Lower Risk/near threatened"
"Bulbophyllum porphyrostachys","2000","LR/nt","Lower Risk/near threatened"
"Bulinus octaploidus","1996","LR/nt","Lower Risk/near threatened"
"Burckella sorei","1998","LR/nt","Lower Risk/near threatened"
"Bursera lunanii","1998","LR/nt","Lower Risk/near threatened"
"Bursera lunanii","1998","R","Rare"
"Buxus citrifolia","1998","LR/nt","Lower Risk/near threatened"
"Buxus citrifolia","1998","R","Rare"
"Buxus colchica","1998","I","Indeterminate"
"Buxus colchica","1998","LR/nt","Lower Risk/near threatened"
"Calyptranthes simulata","1998","LR/nt","Lower Risk/near threatened"
"Campomanesia reitziana","1998","LR/nt","Lower Risk/near threatened"
"Campomanesia speciosa","1998","LR/nt","Lower Risk/near threatened"
"Capparis discolor","1998","LR/nt","Lower Risk/near threatened"
"Carabus intricatus","1996","LR/nt","Lower Risk/near threatened"
"Carabus intricatus","1994","V","Vulnerable"
"Carabus intricatus","1990","V","Vulnerable"
"Carabus intricatus","1988","V","Vulnerable"
"Carabus intricatus","1986","V","Vulnerable"
"Caraipa jaramilloi","1998","LR/nt","Lower Risk/near threatened"
"Carallia diplopetala","1998","E","Endangered"
"Carallia diplopetala","1998","LR/nt","Lower Risk/near threatened"
"Carallia euryoides","1998","LR/nt","Lower Risk/near threatened"
"Carex preussii","2000","LR/nt","Lower Risk/near threatened"
"Cariniana pyriformis","1998","LR/nt","Lower Risk/near threatened"
"Casasia longipes","1998","LR/nt","Lower Risk/near threatened"
"Casasia longipes","1998","R","Rare"
"Castanopsis curtisii","1998","LR/nt","Lower Risk/near threatened"
"Castanopsis kawakamii","1998","LR/nt","Lower Risk/near threatened"
"Castanopsis kawakamii","1998","nt","Not Threatened"
"Cavanillesia platanifolia","1998","LR/nt","Lower Risk/near threatened"
"Cecropia multiflora","1998","LR/nt","Lower Risk/near threatened"
"Celtis jamaicensis","1998","LR/nt","Lower Risk/near threatened"
"Celtis jamaicensis","1998","V","Vulnerable"
"Cercidiphyllum japonicum","1998","LR/nt","Lower Risk/near threatened"
"Chelodina oblonga","1996","LR/nt","Lower Risk/near threatened"
"Chelodina reimanni","2000","LR/nt","Lower Risk/near threatened"
"Chelodina reimanni","1996","DD","Data Deficient"
"Chelodina reimanni","1996","VU","Vulnerable"
"Chelyocarpus dianeurus","1998","LR/nt","Lower Risk/near threatened"
"Chilabothrus angulifer","1996","LR/nt","Lower Risk/near threatened"
"Chilabothrus angulifer","1994","I","Indeterminate"
"Chilabothrus angulifer","1990","I","Indeterminate"
"Chilabothrus angulifer","1988","I","Indeterminate"
"Chilabothrus angulifer","1986","I","Indeterminate"
"Chionanthus filiformis","1998","LR/nt","Lower Risk/near threatened"
"Chrysophyllum arenarium","1998","LR/nt","Lower Risk/near threatened"
"Chrysophyllum arenarium","1998","R","Rare"
"Chrysophyllum bombycinum","1998","LR/nt","Lower Risk/near threatened"
"Chrysophyllum bombycinum","1998","R","Rare"
"Chrysophyllum hirsutum","1998","LR/nt","Lower Risk/near threatened"
"Chrysophyllum ovale","1998","LR/nt","Lower Risk/near threatened"
"Chrysophyllum ovale","1998","R","Rare"
"Chrysophyllum parvulum","1998","LR/nt","Lower Risk/near threatened"
"Chrysophyllum parvulum","1998","R","Rare"
"Chrysophyllum viride","1998","LR/nt","Lower Risk/near threatened"
"Chrysoritis oreas","1996","LR/nt","Lower Risk/near threatened"
"Chrysoritis oreas","1994","R","Rare"
"Chrysoritis oreas","1990","I","Indeterminate"
"Chrysoritis oreas","1988","I","Indeterminate"
"Chrysoritis oreas","1986","I","Indeterminate"
"Chytranthus mannii","1998","LR/nt","Lower Risk/near threatened"
"Cinnamomum japonicum","1998","LR/nt","Lower Risk/near threatened"
"Claoxylon ooumuense","1998","LR/nt","Lower Risk/near threatened"
"Claoxylon ooumuense","1998","R","Rare"
"Claoxylon taitense","1998","LR/nt","Lower Risk/near threatened"
"Claoxylon taitense","1998","R","Rare"
"Claudius angustatus","1996","LR/nt","Lower Risk/near threatened"
"Clavija longifolia","1998","LR/nt","Lower Risk/near threatened"
"Cleistanthus flavescens","1998","LR/nt","Lower Risk/near threatened"
"Cleistanthus flavescens","1998","V","Vulnerable"
"Cleistanthus membranaceus","1998","LR/nt","Lower Risk/near threatened"
"Cleistanthus membranaceus","1998","V","Vulnerable"
"Clermontia grandiflora","1998","E","Endangered"
"Clermontia grandiflora","1998","LR/nt","Lower Risk/near threatened"
"Clermontia persicifolia","1998","E","Endangered"
"Clermontia persicifolia","1998","LR/nt","Lower Risk/near threatened"
"Clethra alexandri","1998","LR/nt","Lower Risk/near threatened"
"Clethra alexandri","1998","R","Rare"
"Clinostigma harlandii","1998","LR/nt","Lower Risk/near threatened"
"Coccoloba dariensis","1998","LR/nt","Lower Risk/near threatened"
"Coccoloba plumieri","1998","LR/nt","Lower Risk/near threatened"
"Coccoloba plumieri","1998","R","Rare"
"Coenonympha oedippus","1996","LR/nt","Lower Risk/near threatened"
"Coenonympha oedippus","1994","E","Endangered"
"Coenonympha oedippus","1990","E","Endangered"
"Coenonympha oedippus","1988","E","Endangered"
"Coenonympha oedippus","1986","E","Endangered"
"Coeranoscincus reticulatus","1996","LR/nt","Lower Risk/near threatened"
"Coeranoscincus reticulatus","1994","V","Vulnerable"
"Cola lizae","1998","LR/nt","Lower Risk/near threatened"
"Colona poilanei","1998","LR/nt","Lower Risk/near threatened"
"Colophon izardi","1996","LR/nt","Lower Risk/near threatened"
"Combretum mkuzense","1998","LR/nt","Lower Risk/near threatened"
"Combretum mkuzense","1998","R","Rare"
"Combretum petrophilum","1998","LR/nt","Lower Risk/near threatened"
"Combretum petrophilum","1998","R","Rare"
"Commiphora albiflora","1998","LR/nt","Lower Risk/near threatened"
"Commiphora ciliata","1998","LR/nt","Lower Risk/near threatened"
"Commiphora ciliata","1998","R","Rare"
"Commiphora corrugata","1998","LR/nt","Lower Risk/near threatened"
"Commiphora corrugata","1998","R","Rare"
"Commiphora guidottii","1998","LR/nt","Lower Risk/near threatened"
"Commiphora hodai","1998","LR/nt","Lower Risk/near threatened"
"Commiphora mafaidoha","1998","LR/nt","Lower Risk/near threatened"
"Commiphora obovata","1998","LR/nt","Lower Risk/near threatened"
"Commiphora obovata","1998","R","Rare"
"Commiphora pseudopaolii","1998","LR/nt","Lower Risk/near threatened"
"Commiphora pseudopaolii","1998","R","Rare"
"Commiphora sphaerophylla","1998","LR/nt","Lower Risk/near threatened"
"Commiphora sulcata","1998","LR/nt","Lower Risk/near threatened"
"Commiphora sulcata","1998","R","Rare"
"Commiphora truncata","1998","LR/nt","Lower Risk/near threatened"
"Commiphora unilobata","1998","LR/nt","Lower Risk/near threatened"
"Commiphora unilobata","1998","R","Rare"
"Comocladia velutina","1998","LR/nt","Lower Risk/near threatened"
"Comocladia velutina","1998","R","Rare"
"Conceveiba macrostachys","1998","LR/nt","Lower Risk/near threatened"
"Conocarpus lancifolius","1998","LR/nt","Lower Risk/near threatened"
"Cooperconcha centralis","1996","LR/nt","Lower Risk/near threatened"
"Cooperconcha centralis","1994","R","Rare"
"Cordia elliptica","1998","LR/nt","Lower Risk/near threatened"
"Cordia elliptica","1998","R","Rare"
"Cordia obovata","1998","LR/nt","Lower Risk/near threatened"
"Cordia obovata","1998","R","Rare"
"Cordia suckertii","1998","LR/nt","Lower Risk/near threatened"
"Cordia suckertii","1998","R","Rare"
"Cordyla madagascariensis","1998","LR/nt","Lower Risk/near threatened"
"Cordyla somalensis","1998","LR/nt","Lower Risk/near threatened"
"Cordyla somalensis","1998","R","Rare"
"Cordylus lawrenci","1996","LR/nt","Lower Risk/near threatened"
"Cordylus lawrenci","1994","R","Rare"
"Cornutia thyrsoidea","1998","LR/nt","Lower Risk/near threatened"
"Cornutia thyrsoidea","1998","R","Rare"
"Corokia macrocarpa","1998","LR/nt","Lower Risk/near threatened"
"Corokia macrocarpa","1998","R","Rare"
"Couroupita nicaraguarensis","1998","LR/nt","Lower Risk/near threatened"
"Couroupita nicaraguarensis","1998","V","Vulnerable"
"Crassocephalum bougheyanum","2000","LR/nt","Lower Risk/near threatened"
"Craterocephalus centralis","1996","LR/nt","Lower Risk/near threatened"
"Craterocephalus centralis","1994","R","Rare"
"Craterocephalus helenae","1996","LR/nt","Lower Risk/near threatened"
"Craterocephalus helenae","1994","R","Rare"
"Craterocephalus lentiginosus","1996","LR/nt","Lower Risk/near threatened"
"Craterocephalus lentiginosus","1994","R","Rare"
"Craterodiscus pricei","1996","LR/nt","Lower Risk/near threatened"
"Craterodiscus pricei","1994","R","Rare"
"Cristilabrum spectaculum","1996","LR/nt","Lower Risk/near threatened"
"Cristilabrum spectaculum","1994","I","Indeterminate"
"Crossopetalum parviflorum","1998","LR/nt","Lower Risk/near threatened"
"Crotalaria exaltata","1998","E","Endangered"
"Crotalaria exaltata","1998","LR/nt","Lower Risk/near threatened"
"Croton laurinus","1998","LR/nt","Lower Risk/near threatened"
"Croton laurinus","1998","R","Rare"
"Croton megalocarpoides","1998","LR/nt","Lower Risk/near threatened"
"Crotonogyne manniana","1998","LR/nt","Lower Risk/near threatened"
"Crotonogyne manniana","1998","V","Vulnerable"
"Croton talaeporos","1998","LR/nt","Lower Risk/near threatened"
"Croton talaeporos","1998","R","Rare"
"Cryosophila guagara","1998","LR/nt","Lower Risk/near threatened"
"Cryosophila kalbreyeri","1998","LR/nt","Lower Risk/near threatened"
"Cryosophila nana","1998","LR/nt","Lower Risk/near threatened"
"Cryptocarya mannii","1998","LR/nt","Lower Risk/near threatened"
"Cryptocarya mannii","1998","R","Rare"
"Cupedora broughami","1996","LR/nt","Lower Risk/near threatened"
"Cupedora broughami","1994","R","Rare"
"Cupedora luteofusca","1996","LR/nt","Lower Risk/near threatened"
"Cupedora luteofusca","1994","R","Rare"
"Cupedora marcidum","1996","LR/nt","Lower Risk/near threatened"
"Cupedora marcidum","1994","R","Rare"
"Cupedora sutilosa","1996","LR/nt","Lower Risk/near threatened"
"Cupedora sutilosa","1994","I","Indeterminate"
"Cupedora tomsetti","1996","LR/nt","Lower Risk/near threatened"
"Cupedora tomsetti","1994","E","Endangered"
"Cussonia ostinii","1998","LR/nt","Lower Risk/near threatened"
"Cussonia ostinii","1998","R","Rare"
"Cyclemys dentata","2000","LR/nt","Lower Risk/near threatened"
"Cyphomandra diploconos","1998","LR/nt","Lower Risk/near threatened"
"Cyrtandra feaniana","1998","LR/nt","Lower Risk/near threatened"
"Cyrtandra feaniana","1998","R","Rare"
"Dalatias licha Northeast Atlantic subpopulation","2000","LR/nt","Lower Risk/near threatened"
"Dalbergia bracteolata","1998","LR/nt","Lower Risk/near threatened"
"Dalbergia emirnensis","1998","LR/nt","Lower Risk/near threatened"
"Dalbergia greveana","1998","LR/nt","Lower Risk/near threatened"
"Dalbergia melanoxylon","1998","LR/nt","Lower Risk/near threatened"
"Dalbergia melanoxylon","1998","nt","Not Threatened"
"Dalbergia mollis","1998","LR/nt","Lower Risk/near threatened"
"Dalbergia pervillei","1998","LR/nt","Lower Risk/near threatened"
"Danaus cleophile","1996","LR/nt","Lower Risk/near threatened"
"Danaus cleophile","1994","K","Insufficiently Known"
"Danaus cleophile","1990","K","Insufficiently Known"
"Danaus cleophile","1988","K","Insufficiently Known"
"Danaus cleophile","1986","K","Insufficiently Known"
"Daniellia klainei","1998","LR/nt","Lower Risk/near threatened"
"Darwiniothamnus lancifolius","2000","LR/nt","Lower Risk/near threatened"
"Darwiniothamnus tenuifolius","2000","LR/nt","Lower Risk/near threatened"
"Degeneria roseiflora","1998","LR/nt","Lower Risk/near threatened"
"Degeneria roseiflora","1998","R","Rare"
"Dendropanax pendulus","1998","LR/nt","Lower Risk/near threatened"
"Dendropanax pendulus","1998","R","Rare"
"Dermogenys megarramphus","1996","LR/nt","Lower Risk/near threatened"
"Dermogenys megarramphus","1994","V","Vulnerable"
"Dermogenys megarramphus","1990","V","Vulnerable"
"Deutzianthus tonkienensis","1998","LR/nt","Lower Risk/near threatened"
"Deutzianthus tonkienensis","1998","nt","Not Threatened"
"Dialium bipindense","1998","LR/nt","Lower Risk/near threatened"
"Dialium cochinchinense","1998","LR/nt","Lower Risk/near threatened"
"Dialium lopense","1998","LR/nt","Lower Risk/near threatened"
"Dialium orientale","1998","LR/nt","Lower Risk/near threatened"
"Dichrostachys kirkii","1998","LR/nt","Lower Risk/near threatened"
"Didelotia idae","1998","LR/nt","Lower Risk/near threatened"
"Didelotia idae","1998","V","Vulnerable"
"Didelotia unifoliolata","1998","LR/nt","Lower Risk/near threatened"
"Didelotia unifoliolata","1998","V","Vulnerable"
"Dimocarpus longan","1998","LR/nt","Lower Risk/near threatened"
"Dimocarpus longan","1998","V","Vulnerable"
"Diospyros wajirensis","1998","LR/nt","Lower Risk/near threatened"
"Diospyros wajirensis","1998","R","Rare"
"Dirutrachia sublevata","1996","LR/nt","Lower Risk/near threatened"
"Dirutrachia sublevata","1994","V","Vulnerable"
"Dombeya aethiopica","1998","LR/nt","Lower Risk/near threatened"
"Drypetes laciniata","1998","LR/nt","Lower Risk/near threatened"
"Duranta armata","1998","LR/nt","Lower Risk/near threatened"
"Echinus esculentus","1996","LR/nt","Lower Risk/near threatened"
"Echinus esculentus","1994","K","Insufficiently Known"
"Echinus esculentus","1990","K","Insufficiently Known"
"Echinus esculentus","1988","K","Insufficiently Known"
"Echinus esculentus","1986","K","Insufficiently Known"
"Echinus esculentus","1983","K","Insufficiently Known"
"Elaeocarpus munronii","1998","LR/nt","Lower Risk/near threatened"
"Elaeocarpus munronii","1998","R","Rare"
"Elaeoluma crispa","1998","LR/nt","Lower Risk/near threatened"
"Elaeoluma crispa","1998","V","Vulnerable"
"Ellipanthus hemandradenioides","1998","LR/nt","Lower Risk/near threatened"
"Ellipanthus hemandradenioides","1998","R","Rare"
"Ellipsaria lineolata","1996","LR/nt","Lower Risk/near threatened"
"Elliptio ahenea","1996","LR/nt","Lower Risk/near threatened"
"Elliptio congaraea","1996","LR/nt","Lower Risk/near threatened"
"Elliptio dariensis","1996","LR/nt","Lower Risk/near threatened"
"Elliptio lanceolata","1996","LR/nt","Lower Risk/near threatened"
"Elliptio lanceolata","1994","I","Indeterminate"
"Elliptio shepardiana","1996","LR/nt","Lower Risk/near threatened"
"Elliptio shepardiana","1994","I","Indeterminate"
"Embelia mildbraedii","2000","LR/nt","Lower Risk/near threatened"
"Emys orbicularis","1996","LR/nt","Lower Risk/near threatened"
"Endocomia rufirachis","1998","LR/nt","Lower Risk/near threatened"
"Enicosanthum fuscum","1998","LR/nt","Lower Risk/near threatened"
"Eremarionta morongoana","1996","LR/nt","Lower Risk/near threatened"
"Eremarionta morongoana","1994","K","Insufficiently Known"
"Erithalis harrisii","1998","LR/nt","Lower Risk/near threatened"
"Erithalis harrisii","1998","R","Rare"
"Erythrococca molleri","1998","LR/nt","Lower Risk/near threatened"
"Erythrophysa septentrionalis","1998","E","Endangered"
"Erythrophysa septentrionalis","1998","LR/nt","Lower Risk/near threatened"
"Eschweilera punctata","1998","LR/nt","Lower Risk/near threatened"
"Eschweilera punctata","1998","V","Vulnerable"
"Eucalyptopsis papuana","1998","LR/nt","Lower Risk/near threatened"
"Eucommia ulmoides","1998","LR/nt","Lower Risk/near threatened"
"Eucommia ulmoides","1998","R","Rare"
"Eucryphia cordifolia","1998","LR/nt","Lower Risk/near threatened"
"Eucryphia glutinosa","1998","LR/nt","Lower Risk/near threatened"
"Eucryphia glutinosa","1998","R","Rare"
"Eugenia amplifolia","1998","LR/nt","Lower Risk/near threatened"
"Eugenia amplifolia","1998","R","Rare"
"Eugenia erythrophylla","1998","LR/nt","Lower Risk/near threatened"
"Eugenia erythrophylla","1998","R","Rare"
"Eugenia isosticta","1998","LR/nt","Lower Risk/near threatened"
"Eugenia isosticta","1998","V","Vulnerable"
"Eugenia linocieroidea","1998","LR/nt","Lower Risk/near threatened"
"Eugenia linocieroidea","1998","V","Vulnerable"
"Eugenia marchiana","1998","LR/nt","Lower Risk/near threatened"
"Eugenia marchiana","1998","R","Rare"
